Name,urlwebsite,Description French,Description
animation-vr,http://bit.ly/36Ag2HN,"Vous souhaitez louer un casque de réalité virtuelle pour animer un événement ? Nous louons casques + ordinateur + animateur. Contactez-nous sans attendre. Nous sommes sur Paris, Bordeaux, Lyon, Lille, Reims, et dans toute la France.","You want to rent a virtual reality headset to host an event? We rent helmets + computer animator. Contact us immediately. We are in Paris, Bordeaux, Lyon, Lille, Reims and throughout France."
lenbo,https://len.bo,,#VALUE!
hegid,https://hegid.com,"Luxury evolving watch for men made in France. Discover Hegid's innovations. Purchase the watches, the carrures, the capsules, and the bracelets.The mechanical automatic movements are Swiss. The manufacture is made in France. Bring the fashion, the personalization to watchmaking.","Evolving Luxury watch for men made in France. Discover Hegid's innovations. Purchase the watches, the middles, the capsules and the bracelets.The automatic mechanical movements are Swiss. The factory is made in France. Bring the fashion, the personalization to watchmaking."
simulateur-vr,http://bit.ly/2PckaYl,"Osez une animation intense pour vos événements ! Choisissez le simulateur VR. Plusieurs modèles de simulateurs disponibles. Nous sommes sur Paris, Lyon, Bordeaux, et dans toute la France.","Dare intense entertainment for your events! Select the VR simulator. Several simulation models available. We are in Paris, Lyon, Bordeaux and throughout France."
le-rouge-francais,https://www.lerougefrancais.com/,,#VALUE!
les-ripeurs,https://www.lesripeurs.com/,"Les Ripeurs :  une solution globale de collecte et de revalorisation des déchets de chantier en Île-de-France - en partenariat avec La Plateforme du Bâtiment, CEDEO, Asturienne.Découvrez notre société !","The skids: a global solution for collection and waste upgrading housing Île-de-France - in partnership with Platform Building, CEDEO, Asturienne.Découvrez our society!"
r-pur,http://r-pur.com,"Le masque antipollution le plus efficace au monde, entièrement fabriqué en France. Compatible moto, vélo, course à pied, adapté à tous les types de casque.","The most effective anti-pollution mask in the world, entirely made in France. Compatible motorcycle, bike, running, suitable for all types of headphones."
upfactor,http://upfactor.fr/,"Structure de conseil indépendante, spécialiste de la détection à grande échelle du potentiel foncier aérien. Expertise transversale (architecture, ingénierie, droit, financement) de la valorisation des toits de la ville durable","Structure independent consultancy specializing in detecting large-scale air land potential. transversal expertise (architecture, engineering, law, finance) the valuation of the roofs of the sustainable city"
ankorstore,https://fr.ankorstore.com/,"Ankorstore est la première place de marché qui connecte marques et créateurs à des boutiques partout en Europe. Nous réinventons le commerce en simplifiant la distribution des marques, en inspirant les revendeurs avec une sélection pointue, et en facilitant les échanges: marques payées à la livraison et délai de paiement pour les boutiques de 60 jours","Ankorstore is the first marketplace that connects brands and creators in shops throughout Europe. Reinventing the trade by simplifying the distribution of marks, inspiring dealers with specialized selection and facilitating trade: brands paid on delivery and payment period to 60 days shops"
gitguardian,https://www.gitguardian.com/,Learn how GitGuardian helps development and security teams detect secrets like API keys and other credentials leaked on GitHub or exposed in internal repositories.,Learn how GitGuardian and helps development teams detect security APIs like secret keys and other credentials are leaked GitHub gold exposed in internal repositories.
odero,https://www.odero.com,"La 1ère Marketplace dédiée aux professionnels de santé 🥇 Matériel Médical, Dentaire, Kinésithérapeute, Gynécologue et plus encore ➽ Achat au meilleur prix","The first marketplace for healthcare professionals 🥇 Medical Equipment, Dental, Physical Therapy, Gynecologist and more ➽ Buy at the best price"
abyssale,https://www.abyssale.com,Abyssale enables you to generate banners for online advertising & social in minutes. No design skills required – Start for free today!,Abyssal Enables you to generate banners for online advertising & social in minutes. No design skills required - Start for free today!
klox-entertainment,https://klox.fr/,,#VALUE!
la-ruche,https://la-ruche.net/,,#VALUE!
moodwork,https://moodwork.co/site,Nos chercheurs et psychologues élaborent les outils pour accompagner au quotidien vos collaborateurs dans leur démarche de bien-être.,Our researchers and psychologists develop tools to support every day your employees in their wellness approach.
virgil,http://www.virgil.fr/,,#VALUE!
woo,https://www.woo.paris/,"WOÔ est une agence d’influence basée à Paris et Londres. Notre mission : mêler créativité et technologie pour créer des campagnes d’influence qui ont du sens pour la marque, l’influenceur et le consommateur.","Woo is based influence agency in Paris and London. Our mission: blend creativity and technology to create campaigns influence that make sense for the brand, the influencer and the consumer."
leavyco,http://LEAVY.CO,,#VALUE!
sewan-communications,https://www.sewan.fr/,"Sewan est un opérateur nouvelle génération et hébergeur Cloud 100% automatisé, orienté utilisateurs, spécialiste du Cloud et des communications unifiées.","Sewan is a next generation operator and hosting Cloud 100% automated, user-oriented specialist cloud and unified communications."
splandeed-decoworkers,http://www.splandeed.com," Splandeed, qu'est-ce que c'est ? C'est la première place de marché archi-deco-design en France, qui valorise et référence les professionnels de la filière. "," Splandeed, what is it? This is the first arch-deco-design marketplace in France, that values ​​and reference professionals in the sector."
ethikdo,https://www.ethikdo.co/,"La première carte cadeau française des enseignes 100% éthiques, écologiques, solidaires et responsables !","The first French gift card for 100% ethical signs, green, caring and responsible!"
vivlab-shop,https://shop.vivlab.com,Vivlab Shop est une solution e-commerce clé en main et sans commission conçue pour les entrepreneurs qui désirent se lancer très rapidement dans la vente en ligne !,Vivlab Shop is a key e-commerce solution in hand and without commission designed for entrepreneurs who wish to start very quickly in selling online!
netnow,http://www.netnow.fr,,#VALUE!
dailylive,https://dailylive.co,,#VALUE!
partners-finances,https://www.partners-finances.fr/,"Avec le rachat de crédit, réduisez vos mensualités jusqu'à -60%. Simulez gratuitement et rapidement votre regroupement de prêt avec Partners Finances.","With the acquisition of credit, reduce your monthly payments up to 60%. Simulate free and quickly with your loan consolidation Finance Partners."
perfony,https://www.perfony.com/fr/,Travaillez plus efficacement dans vos projets en plaçant le suivi et la collaboration au coeur de votre entreprise avec Perfony,Work more efficiently in your projects by placing tracking and collaboration at the heart of your business with Perfony
velyvelo,http://velyvelo.com/,VelyVelo propose la location de vélos électriques longue durée à Paris et en Ile-de-France. Un service de location complet incluant l’assurance et la réparation.,VelyVelo offers rental of long electric bikes in Paris and the Ile-de-France. A full rental service including insurance and repairs.
data-mechanics,https://www.datamechanics.co/,A serverless data platform for data scientists and engineers. Focus on your data while we handle the mechanics.,A serverless data platform for data scientists and engineers. Focus on your data while we handle the mechanics.
loom,https://www.loom.fr/,"Des vêtements durables, qui tiennent plus longtemps et abîment moins l'environnement.","Sustainable clothing, which take longer and less damaged the environment."
snapshift,https://www.snapshift.co/,Snapshift est un logiciel de planning et de gestion du personnel conçu pour faciliter le quotidien de votre entreprise.,Snapshift is a planning software and personnel management designed to facilitate your daily business.
coucoo-cabanes,https://www.coucoo.com/,"Dormez dans l'une de nos cabanes dans les arbres, flottantes ou sur pilotis dans l'Oise, en Franche-Comté, dans le Vaucluse ou sur le territoire de Belfort. Des domaines naturels pour une expérience hors du temps.","Sleep in one of our tree houses, on stilts or floating in Oise, in Franche-Comte, in the Vaucluse or on the territory of Belfort. Natural areas for a timeless experience."
predictice,https://predictice.com/,Recherchez et analysez des millions de décisions de justice en 1 seconde. Estimez le taux de succès d’une action contentieuse. Chiffrez le risque financier.,Investigate and analyze millions of judgments in 1 second. Estimate the rate of success of any litigation. Encrypt the financial risk.
lalilo,https://lalilo.com/,Sign up and invite parents remotely for home access to phonics and reading lessons.,Sign up and invite relatives to remotely access for home phonics and reading lessons.
biolog-id,https://www.biolog-id.com/fr/,"Biolog-id est la solution de santé connectée, pour gérer et tracer les produits thérapeutiques sensibles. Transfusion®, Plasma® et C-LOG® sont basées sur la technologie RFID.","Biolog-id is connected health solution, to manage and track sensitive therapeutic products. Transfusion®, Plasma® and C-Log® are based on RFID technology."
tissium,https://tissium.com/,TISSIUM is creating the future of tissue reconstruction. Learn more about our novel solutions based on our proprietary platform of biomorphic programmable polymers.,TISSIUM is Creating the Future of tissue reconstruction. Learn more about our novel solutions based is our proprietary platform of biomorphic programmable polymers.
miloe,https://www.miloe-sante.com/,"Fiche médicale 100% sécurisée. Toujours accessible et sans application. Partagez ce que vous voulez - en cas d'urgence ou de besoin, le personnel soignant connaîtra vos antécédents. Miloé est un dispositif de prévention.","Medical record 100% secure. Always accessible and free application. Share what you want - in an emergency or need, the staff nurse will know your background. ILEOM is a prevention device."
modeoai,http://modeo.ai,Nous aidons les entreprises à se concentrer sur le coeur de leur métier et à créer de la valeur grâce à l’IA.,We help companies to focus on the heart of their business and to create value through AI.
wibbitz,http://www.wibbitz.com/fr,,#VALUE!
easydigitalkey,https://www.easydigitalkey.com,Boutique propulsée par PrestaShop,Shop powered by PrestaShop
sipios,http://sipios.com,"Agence Fintech ◕ Sipios développe en un temps record des applications simples et sécurisées qui révolutionnent la finance !
","Agency Fintech ◕ Sipios develops in record time simple and secure applications that revolutionize finance!
"
oopet,http://www.oopet.io,"Hub de services TOTALEMENT DEDIÉAUX ANIMAUX DE COMPAGNIE OOPET ACCOMPAGNE LES PROPRIÉTAIRES DE CHAT, CHIEN, FURET, LAPIN, RONGEUR, REPTILE… DANS LEUR QUOTIDIEN   Ainsi que tous les autres animaux de compagnie, avec un objectif : Le bien être de l’Animal Plusieurs applications mobiles, sites web, objets connectés sont conçus pour vous aider, enrichir vos connaissances et offrir … Continuer la lecture de « OOPET »","Hub services DEDIÉAUX TOTALLY PETS ACCOMPANYING OOPET OWNERS CAT, DOG, FURET, RABBIT, RODENTS, REPTILE ... IN THEIR DAILY As all other pets, with one goal: the welfare of the Animal Several applications mobile websites, connected objects are designed to help you expand your knowledge and offer ... Continue reading ""OOPET"""
matchoffice,https://www.matchoffice.fr/,Trouver un local commercial à louer dans le domaine de l'immobilier commercial est une tâche difficile. Trouvez votre local à louer en France avec MatchOffice!,Find Commercial rent in the area of ​​commercial real estate is a difficult task. Find your local rent in France with MatchOffice!
pandat-finance,https://www.pandat.fr/,"Pandat Finance, courtier pour les entreprises, associations et institutionnels, vous accompagne pour trouver le meilleur produit financier du marché !","Pandat Finance broker for companies, associations and institutions, accompanies you to find the best financial products on the market!"
wittyfit,https://wittyfit.com/en/,"WITTYFIT is a SaaS platform that allows you to measure, analyse and, above all, improve the job satisfaction of your employees.","WITTYFIT is a SaaS platform That Allows you to measure, analyze and, Above All, Improve the job satisfaction of your employees."
go-epargne-entreprise,https://www.go-ee.com/go-ee/,"GO ! Épargne entreprise, une nouvelle approche de l’épargne salariale","GO! Savings business, a new approach to employee savings"
mansa,https://getmansa.com,Mansa. est une plateforme qui permet aux freelances et aux indépendants d&#x27;avoir accès à un prêt bancaire en 24h.,Mansa. is a platform that allows freelancers and independent of & # x27; access a bank loan in 24 hours.
acticor-biotech,http://acticor-biotech.com,Acticor Biotech develops a drug candidate based on academic research on therapeutic monoclonal antibodies conducted by its founders.,Acticor Biotech Develops a drug candidate based on academic research on therapeutic monoclonal antibodies Conducted by ict founders.
concilium,https://concilium.digital/,,#VALUE!
publithings,https://publithings.com,Publithings Votre agence média et événementielle dédiée Drone Réalité Virtuelle Leader Immersion Technologique Simulateur Réalité Virtuelle Robot Nombre animations réalisées Hologramme Soirée Entreprise Simulateur de Vol Disponible partout en France et en Europe Team Building Réalité Augmentée Avis Clients Simulateur de Glisse Robot Titan Animation Digitale Stand et Salon Animations pour toutes sortes d’événements Conférence […],Publithings Your media agency and event dedicated Drone Virtual Reality Leader Technology Immersion Simulator Virtual Reality Robot Number animations made Hologram Evening Company Flight Simulator Available throughout France and Europe Team Building Augmented Reality reviews Guest Simulator slide Robot Titan Animation Digital Booth and Lounge Entertainment for all kinds of events Conference [...]
yavin,https://www.yavin.com/,,#VALUE!
sayya,https://sayya.fr/,,#VALUE!
hiddenmarket,https://hidden.market/,"HIDDEN MARKET - Plateforme de recrutement de hauts potentiels IT, répond aux attentes des candidats sur le recrutement : salaire, missions et expériences.","HIDDEN MARKET - high recruitment potential IT platform, meets the expectations of candidates on recruitment: salary, assignments and experiences."
libeo,https://libeo.io/,"Avec Libeo, collectez, suivez  et réglez toutes vos factures fournisseurs sur une plateforme unique.  Sans IBAN et en un clic.","With LIBEO, collect, track and adjust all your supplier invoices on a single platform. Without IBAN and with one click."
kardinal,https://kardinal.ai/fr/,Votre solution d'optimisation de tournées de livraisons et interventions. Optimisez vos tournées quels que soient les aléas du terrain.,Your route optimization solution deliveries and interventions. Optimize your whatever the vagaries of the terrain.
royalti,http://www.royalti.fr,"Financement alternatif pour les entreprises et start-ups en royalties, basé sur le partage de chiffre d'affaires, sans céder les parts de société.","Alternative financing for businesses and start-ups in royalties based on revenue sharing, without giving the company shares."
la-place-fintech,http://www.laplace-fintech.com/,"Meeting place for actors of innovation in Finance. Located in the heart of the Palais Brongniart, in the former Paris stock exchange, La Place welcomes startups and large companies for weekly events.","Meeting place for actors of innovation in Finance. Located in the heart of the Palais Brongniart, in the form Paris stock exchange, La Place Welcomes startups and large companies for weekly events."
happy-property,https://www.happy.property,,#VALUE!
team-vitality,https://vitality.gg/,"Vitality est la première équipe esport en France, à la conquête de l'Europe et du Monde. Disputant les plus grands tournois sur CS:GO, LoL, Fortnite, FIFA..","Vitality is the first eSport team in France, to the conquest of Europe and the World. Playing in the biggest tournaments on CS: GO, LoL, Fortnite, FIFA .."
studiomatic,http://www.studiomatic.co,Studio de répétition et de production haut de gamme en libre-service et accessible 24/7 avec votre smartphone à Paris et en Ile de France. N°1 des studios en résidences : répétez en illimité 24h/7j à partir de 150€/mois.,Studio repeat and high-end production self-service and accessible 24/7 from your smartphone in Paris and Ile de France. No. 1 studio residences: repeat unlimited 24h / 7d from 150 € / month.
talkspirit-0,https://www.talkspirit.com/fr/,"talkspirit is a secure Enterprise Social Network for the workplace. Communicate, collaborate and connect in one familiar overview.","talkspirit is a secure Enterprise Social Network for the workplace. Communicate, Collaborate and connect in one familiar overview."
rising,https://risinguparis.com,"Des programmes de formation, de conseil et d’études pour révéler et booster la performance et la transformation des organisations.","Training programs, consultancy and studies to reveal and enhance the performance and processing organizations."
mes-allocs,https://www.mes-allocs.fr,Découvrez vos droits aux aides et recevez-les sur votre compte sans faire aucune démarche. On s'occupe de vous.,Discover your rights to aid and receive them on your account without any action. We take care of you.
popframe,https://www.popframe.fr/,"Visualiser et créer votre encadrement de tableau sur mesure en 5 min. Qualité Musée.
   Encadrer et personnaliser simplement toutes vos photos, toiles, posters, et toutes vos oeuvres. Impression de vos photos incluse. Cadre sur mesure 100% Made in France.","View and create your custom picture frame in 5 min. Museum.
   Coach and simply customize all your photos, paintings, posters, and all your works. Print your photos included. custom Frame 100% Made in France."
oprotect,http://oprotect.com,"Réserver votre agent de sécurité à tout moment. Devis gratuit en 3 clics, Gardiennage de sites, chantiers, entrepôts, ou événement et soirées privées, OPROTECT met à votre disposition tout type d’agents de sécurité professionnels, certifiés et habilités.","Book your security officer at any time. Quote Free in 3 clicks, site Guarding, construction sites, warehouses, or event and private parties, OPROTECT offers any type of professional security officers, certified and authorized."
beeldi,https://beeldi.com/,Faire du digital et de la technologie un accélérateur de la transition énergétique des bâtiments.,Making digital and technology accelerator for the energy transition of buildings.
dooh-it,https://doohit.fr/,"Fidelisez votre clientèle avec un service de rechargement : vos campagnes sont diffusées dans des lieux du quotidien, touchant 1,9 millions de personnes","Retain your customers with a reload service: your campaigns appear in everyday places, affecting 1.9 million people"
brut,https://www.brut.media/,"Brut: the definitive video media to enlightening information. Culture, news, lgbtq, politics, planet, activism, breaking stereotypes, entertainment, travel","Gross: the definitive video media to enlightening information. Culture, news, lgbtq, politics, planet, activism, breaking stereotypes, entertainment, travel"
spotimplant,https://www.spotimplant.com,,#VALUE!
fiduce-0,https://fiduce.fr,Courtier immobilier : La première plateforme basée sur une Blockchain. Sachez à tout moment à quel stade se situe votre dossier pas à pas. | Fiduce,Real Estate: The first platform based on a Blockchain. Know at any time what stage is not your file no. | Fiduce
adequacy,http://www.adequacy.app,,#VALUE!
makko,https://www.makko.fr,"Makko vous aide à construire un lieu de travail unique & agreable : ménage, petits travaux, livraison fruits, etc. 1 seul prestataire pour plus de liberté !","Makko helps you build a single working place & nice: household, small works, delivery fruit etc. 1 single provider for more freedom!"
licorne-society,https://licornesociety.com/,Plateforme de recrutement 100% startup qui chasse pour toi les offres d'emploi et de stage des meilleures startups françaises,recruitment platform 100% startup that you hunting for job and internship offers the best French startups
doyouno,https://doyouno.com/professionals/search,Rénovation – Décoration – Dépannage : trouvez les meilleurs professionnels en direct et sans frais grâce aux recommandations clients. Des milliers de suggestions déco pour vos travaux.,Renovation - Decoration - Troubleshooting: find the best professionals live and without charge through customer recommendations. Thousands of suggestions decoration for your work.
droon,http://DROON.IO,DROON provides a set of tools and technologies that enables blockchain technology for any environment or project even without expertise or a dedicated team. It integrates seamlessly blockchain into legacy systems.,Droon Provides a set of tools and technologies That Enables blockchain technology for Any Environment gold project Even without expertise dedicated team gold. It integrals blockchain seamlessly into legacy systems.
fiduce,https://fiduce.fr/,Courtier immobilier : La première plateforme basée sur une Blockchain. Sachez à tout moment à quel stade se situe votre dossier pas à pas. | Fiduce,Real Estate: The first platform based on a Blockchain. Know at any time what stage is not your file no. | Fiduce
scallog,http://www.scallog.com/,"Nous créons des solutions robotiques flexibles et performantes pour optimiser la préparation de commandes de détail, et ce pour tout entrepôt ou magasin de stockage.","We create flexible and efficient robotic solutions to optimize the preparation of retail orders, for any warehouse or storage magazine."
digimium,http://www.digimium.com,"Recevoir ou émettre les appels de son entreprise depuis un PC, Mac ou Smartphone (serveur vocal interactif, groupement, file d'attente, accueil)","Receive or make calls his company from a PC, Mac or Smartphone (IVR, group, queue, host)"
vivadata,https://vivadata.org,"VIVADATA est la 1ère formation d'intelligence artificielle en France. Bootcamp intensif en data science, machine learning, deep learning, data engineering et IoT.","VIVADATA is the first artificial intelligence training in France. intensive Bootcamp in data science, machine learning, deep learning, data engineering and IoT."
ddays,https://www.ddays.app/,"Ddays, is a free app for planning events with friends without the back-and-forth messages.","Ddays, is a free app for scheduling events with friends without the back-and-forth messages."
sleepingmoney,https://www.sleepingmoney.com,"Vous n'utilisez pas vos Cartes Cadeaux ? Revendez-les contre du Cash !
Vous cherchez des Réductions ? Achetez des Cartes Cadeaux à Prix Réduit !","You do not use your Gift Cards? Resell them against the Cash!
Looking for Discounts? Buy Gift Cards at Reduced!"
uneeti,https://www.uneeti.com,"La transformation digitale en 4 étapes  
Étape n°1
Infrastructure 
Atteignez une infrastructure 100% disponible pour la bonne santé de votre activité   
Étape n°2
Travail collaboratif 
Exploitez et capitalisez vos données partout et tout le temps en toute tranquillité   
Étape n°3
Processus","Digital processing in steps 4
Stage 1
Infrastructure
Achieve 100% available infrastructure for the good health of your business
Stage 2
Teamwork
Use and capitalize your data anywhere, anytime safely
Stage 3
Process"
big-video,https://www.bigupvideo.com,Demande des vidéos à tes stars préférées!,Demand videos to your favorite stars!
aqemia,http://www.aqemia.com/,,#VALUE!
posos,https://www.posos.fr/,"Posos transforme l’information médicale en réponses directement utilisables dans votre pratique, quelque soit le profil de votre patient.","Posos transforms medical information answers directly used in your practice, whatever the profile of your patient."
konverso,https://www.konverso.ai/,"Discover Konverso, AI powered services & IT services desks corporate chatbots: we build virtual assistants bringing new experiences to business users.",Discover Konverso AI powered services & IT service desks corporate chatbots: we build virtual assistants Bringing new experiences to business users.
strapi,https://strapi.io/,"Strapi is the next-gen headless CMS, open-source, javascript, enabling content-rich experiences to be created, managed and exposed to any digital device.","Strapi is the next-gen headless CMS, open source JavaScript, Enabling content-rich experiences to be created, managed and exposed to-any digital device."
uptime,https://www.uptime.ac/,"Avec le contrat de maintenance prédictive de votre ascenseur, uptime anticipe ses dysfonctionnements, évite les pannes et répare au lieu de remplacer. Calculez le Score santé de votre ascenseur en ile de France et simulez le prix de votre contrat avec notre simulateur personnalisé.","With predictive maintenance contract of your lift, uptime anticipates its dysfunctions, prevents outages and repair rather than replace. Score Calculate the health of your elevator in Ile de France and simulate the price of your contract with our customized simulator."
madbox,https://madbox.io/,"Madbox is a mobile gaming company, founded by a team of passioned game makers. Creators of Stickman Hook, Dash Valley, Sausage Flip, Golf Race and Idle Zoo.","Madbox is a mobile gaming company, founded by a team of passioned game makers. Creators of Stickman Hook, Dash Valley, Sausage Flip Golf Idle Race and Zoo."
uptoo,https://www.uptoo.fr,"Nous aidons les dirigeants à se renforcer commercialement sur 3 métiers : le recrutement de commerciaux, la formation des équipes et la modernisation des méthodes de vente","We help leaders to strengthen commercially on 3 businesses: the recruitment of sales, team training and upgrading of sales methods"
mobeep,https://www.mobeep.app,Free mobile app broadcasting a powerful Beep while ridding your favorite electric means of transport to make yourself heard,Free mobile app has broadcasting Powerful Beep while ridding your favorite electric moyen de Transport to make yourself Heard
otheroffice,https://www.otheroffice.fr,"Spécialisée en Stratégie Immobilière d'Entreprise, OtherOffice est une Agence de Conseil Indépendante en Immobilier d'Entreprise à Paris et en Île-de-France qui regroupe tous les métiers du conseil et de la transaction au service des entreprises. ","Specializing in Corporate Real Estate Strategy, OtherOffice is an Independent Agency Council for Commercial Property in Paris and the Ile-de-France that brings together all the consulting and transaction service businesses."
crushon,https://crushonapp.com/,Le meilleur des friperies et créateurs vintages réunis sur une seule plateforme en ligne. Réinventons le futur avec le passé.,The best thrift stores and vintage creators gathered on a single online platform. Reinventing the future with the past.
mooncard-0,http://www.mooncard.co,"La meilleure solution pour les notes de frais et les achats en entreprise. Une carte de paiement qui va du paiement à la comptabilité, sans ressaisie.","The best solution for expense reports and shopping business. A charge card is going payment to accounting, without re-keying."
ohmybio,https://ohmy.bio/,"Ajouter plusieurs liens dans votre bio instagram. Partagez plus de contenu à votre communauté avec une page bio unique et convertissez vos abonnés instagram en clients, viewers, fans. Intégrez plusieurs liens dans votre bio instagram, votre Twitch, YouTube, Soundcloud, Spotify et Viméo","Add more links in your bio instagram. Share more content to your community with a single bio page and convert your instagram followers into customers, viewers, fans. Include several links in your bio instagram, your Twitch, YouTube, Soundcloud, Spotify and Vimeo"
frames-dealer,http://www.framesdealer.com,"Frames Dealer releases premium quality footage from talented filmmakers and promises to find the right visuals for any of your projects. By being on both sides of the spectrum, Frames Dealer partners up with both creatives and professionals to enhance our contemporary visual landscape.","Frames Dealer premium quality releases footage from talented filmmakers and promised to find the right visuals for'any of your projects. By being white on Both Sides of the spectrum, Frames Dealer partners up with Both creatives and professionals to Enhance our contemporary visual landscape."
bizao,https://www.bizao.com/,Bizao vous permet d'accepter les moyens de paiement en ligne en Afrique pour la commercialisation de vos services et/ou produits.,Bizao allows you to accept online payment methods in Africa for marketing your services and / or products.
medusims,http://www.medusims.com,MEDUSIMS propose aux professionnels de santé des plateformes d’e-training afin qu’ils puissent se préparer méthodiquement à l'exercice de leur profession.,MEDUSIMS offers e-training platforms for health professionals to prepare methodically for the exercise of their profession.
packetai,http://www.packetai.co/,"No Thresholds, no rules. Logs and metrics go in. Predictive alerts and Root Cause come out.","Thresholds No, no rules. Logs and metrics go in. Predictive alerts and Root Cause come out."
paperplane-seo,https://paperplane-seo.com,,#VALUE!
anticafe,https://www.anticafe.eu,"Café-coworking pour travailler ou télé-travailler à Paris, Lyons, Bodeaux ou Strasbourg, dans un environnement propice à la concentration et tout équipé (connexion internet wi-fi rapide, salles de réunion et de téléconférence à disposition, ...) Vous retrouverez des boissons et des encas à volonté et ne payez que le temps passé. 6€ par heure limité à 28€ par jour. Location de salles de séminaires et ambiance deign. Prenez un (anti) café !","Coffee coworking to work or tele-work in Paris, Lyons, Strasbourg Bodeaux or in an environment conducive to concentration and fully equipped (fast internet connection wi-fi, meeting rooms and conferencing available ...) You find drinks and snacks at will and only pay for the time spent. 6 € per hour limited to 28 € per day. seminar rooms and rental deign atmosphere. Take a (anti) coffee!"
lead-advisor,https://www.leadadvisor.fr/,"Vous recherchez une agence de sécurité ? Recevez vos devis gratuits en 2 minutes sur Lead Advisor Security pour des agents de sécurité, un système de contrôle d’accès, de vidéosurveillance, ou d’alarme intrusion.","Looking for a security agency? Get your free quote in 2 minutes lead advisor Security for security guards, access control system, video surveillance or intrusion alarm."
axionable-0,https://www.axionable.com/,,#VALUE!
colivme,https://colivme.com/fr,,#VALUE!
wifitmedia,http://www.wifit.media,,#VALUE!
steolo,https://www.steolo.com,Atteignez la première position sur Google grâce au SEO. Développez votre entreprise et votre chiffre d'affaires avec Steolo ! Devis Gratuit.,Reach the top position on Google through SEO. Grow your business and your revenue with Steolo! Free Quote.
numa-mentors,https://www.numamentors.co/,"This website is for sale! numamentors.co is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, numamentors.co has it all. We hope you find what you are searching for!","This website is for sale! numamentors.co is your first and best source for all of the information you're looking for. From general topics to more of what You Would expect to find here, numamentors.co has it all. We hope you find what you are searching for!"
eventdrive,https://www.eventdrive.com/,"Organisez simplement vos événements d'entreprise grâce à Eventdrive, la plateforme tout-en-un de gestion d'événements professionnels.","Organize your business simply through Eventdrive events, the platform all-in-one event management professionals."
frequens,https://www.frequens.com,"Vous prenez régulièrement un ticket sur
                PayByPhone ? Ça vous arrive d’oublier ? Ça vous vaut une amende ?
                C'est fini ! Frequens prend vos tickets automatiquement pour vous tous les
                jours.","You take a ticket on a regular basis
                PayByPhone? It happens to forget? It is fine you?
                It's finish ! Frequens takes your tickets automatically for you all
                days."
ip-transfer,https://ip-transfer.com/,"Achetez et vendez des Marques, Brevets et Dessins et Modèles","Buy and sell Marks, Patents and Designs"
sublissime,https://sublissi.me,,#VALUE!
cuure,https://cuure.co/,"Transformez votre quotidien avec votre Cuure personnalisée de compléments et vitamines, recommandée pour vous, par nos spécialistes, selon vos besoins. À partir de 12,50 € par mois.","Transform your daily personalized with your supplements and vitamins Cuure recommended for you, by our specialists, as needed. From € 12.50 per month."
flitdesk,https://flitdesk.com/,Flitdesk est la solution tout-en-un pour simplifier la gestion des bureaux et des espaces de travail modernes,Flitdesk is the all-in-one solution to simplify the management of modern offices and workspaces
pickyourskills,https://pickyourskills.com/,,#VALUE!
maze,https://maze.design/,"Get user insights fast, early, and often so you can make data-informed product and design decisions.","Get user insights fast, early, and so Often you can make data-informed product and design decisions."
cocoon-space,https://www.cocoon-space.com/,"Dès 12€/heure, réservez en ligne pour 1h ou plus, une salle de réunion ou un bureau calme, design et accessible sur Paris de 8h à 23h et weekend | Annulation gratuite jusqu'à 2h avant. De 1 à 40 personnes.","From 12 € / hour, reserve online for 1 hour or more, a meeting room or a quiet office, design and accessible on Paris from 8h to 23h and weekend | Cancellation free until 2 hours before. From 1 to 40 people."
salesapps,https://www.salesapps.io/en/,"SalesApps Digital Sales | Sales Book Sales Force touch book, Sales Force Tablet Apps, Commercial Sales Book","SalesApps Digital Sales | Sales Book Sales Force touch book, Sales Force Tablet Apps, Commercial Sales Book"
another-brain,https://anotherbrain.ai/,Lorem ipsum,Lorem ipsum
slice,https://slice.club/,Slice est une agence spécialisée en Publicité Facebook et Instagram à fort ROI. Nos experts ont dépensé des millions d'euros en publicité Facebook pour vous éviter de coûteuses erreurs.,Slice is an agency specializing in Facebook and Instagram with strong ROI. Our experts have spent million in Facebook advertising to help you avoid costly mistakes.
welcol,http://www.welcol.io,"Avec Welcol, trouvez votre thérapeute ou coach et bénéficiez d’un suivi personnalisé où que vous soyez en quelques clics.","With Welcol, find your therapist or coach and get a personalized anywhere with a few clicks."
cyclo-power-factory,https://cyclopowerfactory.com,Le Cyclo Power Factory est une véritable usine de production d'électricité à partir d'énergie humaine,Cyclo Power Factory is a real factory production of electricity from human energy
devis-mutuelle-france,http://devis-mutuelle-france.fr/,Vous souhaitez obtenir un devis mutuelle sante ? Comparez sans plus attendre les tarifs et garanties des meilleurs contrats d’une mutuelle.,You would like health mutual quote? Compare rates without delay and guarantees of better contracts mutual.
mutuelle-comparateur-sante,https://www.mutuelle-comparateur-sante.com/,,#VALUE!
annonces-legalesorg,https://www.annonces-legales.org,Publiez vos annonces légales sur les journaux d'annonces légales au meilleur prix avec attestation de parution en quelques minutes ✅,Publish your legal notices on legal journals the best price issue certificate in minutes ✅
